id,adaptibility,danceability,duration,energy,explicit,happening,instrumentalness,loudness,mode,naturality,positiveness,release_date,reputation,speechiness,tempo,time_signature,total_tracks
Hh/Su4e4XqWG/+Fc,2,50.2,453977.0,41.4,False,0.0932,0.0,,6,0.124,0.343,2022-08-26,40,0.0339,117.345,3,1
OIRhBUTBvNxLM4dd,11,41.2,508991.0,77.0,False,0.0485,1.5e-06,-7.114000000000001,5,0.462,0.418,2002-05-07,63,0.18,101.955,3,19
bgo52/la95bWl8nX,5,71.5,,70.5,True,0.281,0.0,-10.166,5,0.0184,0.601,2023-08-04,67,0.275,137.961,4,3
ebJrTQL4ezYkRxu6,5,36.8,185553.0,12.5,False,0.0991,0.904,-50.474,5,0.988,0.106,2023-04-19,47,0.0377,68.555,3,1
7+zPe2Jh8UE25LFX,0,93.1,297861.0,40.1,True,0.266,2.05e-06,-12.512,6,0.399,0.613,2023-09-15,81,0.158,,4,18
sjSTosGgp1n+0iQf,8,55.7,295021.0,69.19999999999999,False,0.111,0.0,-7.08,6,0.0811,0.278,2022-09-30,58,0.042,139.128,4,15
OrirNk7LbgqHIIB+,7,64.4,399341.0,34.300000000000004,False,0.0977,0.175,-14.698,5,0.0455,0.521,2023-10-20,43,0.0329,79.994,4,1
uw++GMqQVmwuT7rV,3,45.9,430217.0,57.49999999999999,False,0.0885,0.0,-4.715999999999999,6,0.604,0.183,2019-11-22,86,0.0573,111.881,4,15
OsmGMzde4FP07S9M,9,60.1,408831.0,64.3,False,0.536,0.0,-12.824000000000002,5,0.171,0.822,1976-11-05,47,0.224,203.669,4,10
+47nf7UBST3nHGWA,2,80.5,261351.0,11.7,False,0.112,0.93,-29.672,6,0.738,0.0393,2022-05-01,52,0.0519,155.005,5,1
mOU2zT4/RgEMe3Fc,0,83.7,402805.0,,False,0.09,0.0,-10.78,6,0.0339,0.762,2005-04-12,73,0.0601,139.986,4,14
FNS+beqntklCBfg8,5,85.6,625017.0,76.2,False,0.296,0.00549,-15.89,6,0.112,0.839,1993-09-28,50,0.0814,105.258,4,17
8EtMjrj1PGe7IJXW,5,55.900000000000006,301719.0,3.34,False,0.0895,0.963,-74.564,6,0.972,0.242,2023-07-06,41,0.0326,139.916,4,1
kkoSOrHIrRt799s3,6,37.2,463923.0,98.5,True,0.152,0.00036,-0.7480000000000002,6,5.57e-05,0.369,2019-06-07,56,0.182,179.911,3,1
zgQ7gPHokj4whgMX,1,87.0,314005.0,33.4,False,0.105,0.958,-17.046,6,0.61,0.583,2023-09-22,64,0.0878,120.135,4,1
75QB9jRd4NVhDRaK,10,50.9,530323.0,17.5,False,0.185,0.412,-30.952,6,0.752,0.28,2023-02-24,33,0.0298,78.012,4,12
JniGpYIlk2zEujwj,9,92.1,270185.0,53.7,True,0.102,0.00404,-6.446,5,0.556,0.711,2018-03-16,84,0.0804,128.009,4,18
0943ggp5SjTy0WUL,2,64.4,291791.0,70.8,False,0.099,2.75e-06,-5.962,5,0.0475,,2023-08-03,60,0.0503,160.045,4,3
c3bUWZfLJCXxp/mV,2,13.7,388003.0,19.5,False,0.106,0.932,-38.38,6,0.979,0.0575,2021-03-12,26,0.0356,88.266,4,3
41zUcY0cn0IY5KGe,8,55.50000000000001,472725.0,26.6,False,0.0856,0.0,-28.936,6,0.654,0.782,1958,35,0.0568,108.113,4,10
nJD4OofODu2gCym+,2,56.89999999999999,335845.0,70.1,False,0.211,0.000104,-9.808,6,0.769,0.933,2004-06-22,38,0.0307,97.436,4,10
aMBnxfXWrjXE+Ri/,5,49.8,291871.0,48.4,False,0.243,0.0,-12.48,5,0.481,0.691,2004-09-28,63,0.0315,152.498,4,24
dzqv8VjfxWxnPt33,2,14.099999999999998,148367.0,0.8370000000000001,False,0.084,0.994,-67.482,6,0.996,0.0375,2019-11-22,35,0.0576,140.947,5,9
VvKrMSFiOnjueTxy,0,66.4,508297.0,,False,0.106,2.38e-06,-19.272,6,0.226,0.816,2006-01-01,67,0.118,113.204,5,16
FTobOgfNtlEjjvMF,9,74.1,708485.0,75.7,False,0.109,0.0,-12.1,5,0.258,0.925,1980,52,0.0419,135.692,4,14
KagkZm/+1I0T/fCI,5,81.10000000000001,393087.0,83.3,False,0.114,0.296,-5.156000000000001,5,0.0195,0.619,2023-01-27,37,0.0555,114.448,4,2
L08RJ/UvGUHjdyct,8,70.6,637337.0,32.6,True,0.171,8.06e-06,-15.9,5,0.538,,2001-01-01,53,0.116,145.976,4,17
zpIVaf8yD7S+ytiT,0,69.89999999999999,561471.0,71.5,False,0.273,0.0483,-7.228,6,0.0866,0.693,1979-05-23,34,0.0448,117.644,4,10
WQK8za5rAudPIVbJ,4,56.7,531417.0,57.99999999999999,True,0.0342,5.37e-06,,5,0.0084,0.46,2002-01-01,61,0.223,157.596,4,17
QhQLEc7IxUaG36Qt,9,14.8,532989.0,9.61,False,0.0663,0.843,,6,0.844,0.0348,2021-11-12,26,0.0432,141.802,3,6
dJaBEdqtlibl3xQH,7,49.2,494643.0,61.8,False,0.387,0.0196,-6.42,6,0.0158,0.631,2023-05-19,32,0.0284,90.901,4,9
IQMOlq85uaqxyx8F,6,71.6,316705.0,36.0,True,0.1,0.0,-17.336,5,0.432,0.147,2023-10-20,43,0.403,96.875,4,5
BJ2g3+Wq1pAr5S7h,5,65.60000000000001,495105.0,60.1,False,0.0873,0.00575,-11.170000000000002,5,0.352,0.333,2022-03-10,36,0.0345,109.24,4,4
mqCLmub830ZDD5zP,5,53.7,428217.0,67.4,False,0.265,0.0,-5.268000000000001,5,0.0088,0.33,2006-01-01,72,0.0277,136.002,4,14
5JDCfNuIRnUiETJP,6,74.3,367677.0,82.5,False,0.148,0.433,-12.542000000000002,6,0.0156,0.37,2023-10-20,42,0.032,88.156,4,1
cbw0urfBWZ12+tbM,7,40.8,442699.0,78.2,False,0.104,1.21e-06,-4.206,5,0.00277,0.231,2023-02-17,53,0.0885,164.85,4,13
vBfvJFNFWSIG5l0R,9,44.6,727177.0,97.0,False,0.199,0.000275,-5.007999999999999,5,0.00754,0.595,1984,57,0.0508,94.233,4,8
0O4IIqTxxCpVnIbQ,5,54.8,813233.0,60.5,False,0.0939,0.0177,-15.368,6,0.708,0.803,2023-09-15,40,0.0428,105.481,4,9
C7EgLjmpIiwh5crA,2,52.8,460085.0,90.4,False,0.174,0.0,-6.708,6,0.000833,0.678,1998-01-01,64,0.0343,122.372,4,12
C3YnElK7myudmi6M,11,81.6,541177.0,77.5,True,0.0543,0.00031,-1.646,6,0.16,0.527,1999-11-16,85,0.234,93.431,4,23
WK8vcitW0giiX6Zn,1,58.9,288057.0,66.10000000000001,False,0.158,1.35e-05,-13.062,6,0.0166,0.619,2023-09-12,72,0.28,217.969,4,1
ANVlBe7J8wy2QiER,0,52.1,447417.0,37.0,False,0.108,0.000807,-13.69,6,0.84,0.55,1955-01-01,56,0.03,78.12,4,11
PG1fKYML6OUSwwMU,7,28.4,494405.0,35.5,False,0.123,0.957,-33.942,6,0.925,0.203,2022-10-07,40,0.0617,128.411,4,1
q2ePnm+ySMRYd7Pv,2,84.6,415527.0,73.4,False,0.425,8.27e-05,-2.202,6,0.286,0.717,2016-10-07,76,0.108,90.98,4,14
ecsdaJdYs8nBX2Dd,10,39.0,301749.0,13.0,False,0.175,0.936,-36.73,6,0.96,0.096,2022-06-26,51,0.0303,85.996,4,1
V8xDOY3aJSXjnyZW,11,53.8,331583.0,96.9,False,0.119,0.00154,-6.252000000000001,5,0.417,,1970,69,0.0906,138.652,4,1
HClzJpQruLCxe7bV,0,59.5,303181.0,89.2,True,0.447,0.0,-4.593999999999999,5,0.479,0.935,2023-05-03,48,0.13,151.905,4,1
nMec4dOo159qL3nn,9,76.2,418191.0,47.1,False,0.136,0.209,-13.738,5,0.459,0.874,2005-01-01,38,0.311,168.039,4,10
CyGuxS9B3qAb8vKU,9,61.0,480687.0,45.8,True,0.0852,0.000103,-17.672,6,0.696,0.246,2018-09-14,76,0.36,192.099,4,14
Thv40jURlN53q3VR,7,62.1,699201.0,48.2,False,0.111,0.953,-11.506,5,0.263,0.0363,2023-09-29,41,0.033,100.054,4,14
7hXICee+Xkefyv22,9,85.8,307969.0,42.9,False,0.0829,0.925,-12.86,5,0.81,0.374,2022-09-30,43,0.0428,86.979,4,1
1iq5mYL9yVsO+52U,2,82.89999999999999,275285.0,69.89999999999999,True,0.155,0.0,-8.542,6,0.0482,0.233,2023-09-06,47,,121.993,4,3
7PT4J1YIvPJrN28J,6,62.8,294057.0,50.0,False,0.244,0.0,-14.32,5,0.44,0.68,2008-06-03,72,0.0268,124.932,4,11
lzB7N34aqV0080E5,0,54.1,623631.0,96.8,False,0.423,8.28e-06,,6,0.000248,0.505,2005-06-06,73,0.0396,125.04,4,11
XlytLzsq6l6nlVYS,7,40.3,622005.0,41.7,True,0.105,0.889,-17.504,6,0.5,0.251,2015-01-01,69,0.0257,89.966,4,2
tSVgf7mQq/4cHzeK,2,23.1,620757.0,90.4,False,0.15,2.74e-06,-6.0120000000000005,6,0.0304,0.598,2009-11-17,59,0.0895,176.073,4,13
H8wBhwD61As3cRIP,4,54.0,432253.0,63.6,False,0.0836,0.11,-7.167999999999999,5,0.0092,0.288,2018-10-24,26,0.0398,102.024,4,1
pOOj+D6PBTpey0XS,4,81.8,450833.0,69.3,False,0.0804,0.000234,-7.802,5,0.347,0.808,2021-04-23,45,0.0739,109.994,4,14
LttwBi+1Z8HKC8s5,5,35.2,333729.0,89.0,False,0.0438,0.804,-7.974,6,0.000138,0.366,2022-11-18,38,0.0715,88.321,4,2
Vehz80bhz8/C9ct7,1,20.6,480409.0,98.8,False,0.0568,0.0438,1.028,6,0.000454,0.224,2018-04-06,39,0.302,96.955,4,1
IQVRYGdLxJ1siIzt,0,65.0,382031.0,82.5,False,0.0936,2.44e-05,-4.289999999999999,6,0.0215,0.593,2021-04-23,84,0.0325,,4,1
/3FsBoNkhusXi6r6,6,47.6,434913.0,11.8,False,0.103,0.0238,-34.014,6,0.955,0.323,2022-10-14,32,0.0401,82.144,3,11
HGynBkCM54uh0NIr,1,76.0,521349.0,57.4,True,0.199,2.02e-05,,6,0.0155,0.137,2017-07-21,68,0.126,134.981,4,16
VlRM1yra1NQSowXJ,0,28.000000000000004,680963.0,37.1,False,0.124,0.00167,-17.372,6,0.00173,0.123,2023-10-13,22,0.0303,144.036,3,1
wX2mTmM1DVG79MH0,2,44.8,399391.0,54.50000000000001,False,0.124,0.0,-9.862,6,0.246,0.583,2023-10-20,27,0.0277,80.709,4,13
emEZ8bxgRVhNwbFg,2,,574485.0,27.1,False,0.0845,0.222,-27.302,6,0.364,0.253,1989-01-01,29,0.0313,76.649,4,14
a9HrdQ70YJbEB5pP,0,,456005.0,16.5,False,0.102,0.932,-34.11,6,0.833,0.0376,2021-04-30,14,0.0357,132.212,3,2
iqO09X1hDqLmfrwR,1,79.0,252005.0,56.2,False,0.186,0.015,,6,0.08,0.812,2023-07-14,45,0.287,,5,7
Rppdujqg1D4aZN3m,2,80.5,373891.0,52.6,True,0.131,0.00188,-14.829999999999998,6,0.25,0.307,2023-10-13,54,0.353,108.045,4,1
DSPAV6ZRNBuj4OiI,1,64.2,,,False,0.3,0.396,-15.106000000000002,6,0.373,0.155,2023-06-16,56,0.126,119.605,4,5
A8rRl8xB75gNoBIc,3,21.6,517949.0,30.1,False,0.563,0.219,-19.928,6,0.105,0.202,2012-01-01,63,0.0294,79.869,5,4
Tf3KEMV7btSWqGk5,7,62.7,470591.0,95.9,False,0.112,0.00576,-4.488,6,0.316,0.397,2011-01-01,63,0.0298,109.981,4,12
Xq1W37tqqs/MaRjz,4,63.8,468273.0,77.7,False,0.0473,0.221,-6.614000000000001,5,0.0146,0.331,2023-08-04,57,0.063,95.005,4,1
ze2h7iQPZ8zRnA7/,9,71.3,236267.0,3.89,False,0.162,0.935,-27.668,5,0.918,0.121,2023-05-06,41,0.0477,130.082,3,1
eon1qQgOsIHXYaWD,5,64.5,279005.0,30.6,False,0.192,0.0669,-9.848,6,0.786,0.131,2023-10-06,67,0.0287,,4,1
